subject_id,npz_path,metric,win_sec,stride_sec,seg1,seg2,distance
subject1,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject1.npz,l2_norm,15,5,0-15,5-20,0.5827938739302168
subject1,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject1.npz,l2_norm,15,5,0-15,10-25,0.6818332312598109
subject1,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject1.npz,l2_norm,15,5,0-15,15-30,0.9562052402174509
subject1,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject1.npz,l2_norm,15,5,5-20,10-25,0.4408468531016562
subject1,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject1.npz,l2_norm,15,5,5-20,15-30,0.8143428509126842
subject1,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject1.npz,l2_norm,15,5,10-25,15-30,0.6845609948982884
subject10,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject10.npz,l2_norm,15,5,0-15,5-20,0.6720779581431477
subject10,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject10.npz,l2_norm,15,5,0-15,10-25,0.9848010330019159
subject10,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject10.npz,l2_norm,15,5,0-15,15-30,0.985801821938781
subject10,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject10.npz,l2_norm,15,5,5-20,10-25,0.6394102522998816
subject10,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject10.npz,l2_norm,15,5,5-20,15-30,1.1069331510783749
subject10,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject10.npz,l2_norm,15,5,10-25,15-30,0.9570048113078979
subject11,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject11.npz,l2_norm,15,5,0-15,5-20,0.38324539410059116
subject11,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject11.npz,l2_norm,15,5,0-15,10-25,0.40301987974731135
subject11,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject11.npz,l2_norm,15,5,0-15,15-30,0.7115481479953388
subject11,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject11.npz,l2_norm,15,5,5-20,10-25,0.4593539601380359
subject11,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject11.npz,l2_norm,15,5,5-20,15-30,0.6718062988780434
subject11,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject11.npz,l2_norm,15,5,10-25,15-30,0.5553704441651202
subject12,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject12.npz,l2_norm,15,5,0-15,5-20,0.447780599723656
subject12,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject12.npz,l2_norm,15,5,0-15,10-25,0.6351401081240619
subject12,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject12.npz,l2_norm,15,5,0-15,15-30,0.7281326601426512
subject12,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject12.npz,l2_norm,15,5,5-20,10-25,0.5312500610392609
subject12,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject12.npz,l2_norm,15,5,5-20,15-30,0.7019458917680107
subject12,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject12.npz,l2_norm,15,5,10-25,15-30,0.5373397625940325
subject13,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject13.npz,l2_norm,15,5,0-15,5-20,0.6896561005400272
subject13,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject13.npz,l2_norm,15,5,0-15,10-25,0.9572663745926421
subject13,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject13.npz,l2_norm,15,5,0-15,15-30,0.9260715219948169
subject13,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject13.npz,l2_norm,15,5,5-20,10-25,0.7862420634532978
subject13,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject13.npz,l2_norm,15,5,5-20,15-30,0.7271166746367876
subject13,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject13.npz,l2_norm,15,5,10-25,15-30,0.43270574895659447
subject14,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject14.npz,l2_norm,15,5,0-15,5-20,0.52880727572514
subject14,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject14.npz,l2_norm,15,5,0-15,10-25,0.8689252398471907
subject14,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject14.npz,l2_norm,15,5,0-15,15-30,0.9484799461895473
subject14,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject14.npz,l2_norm,15,5,5-20,10-25,0.662886097704695
subject14,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject14.npz,l2_norm,15,5,5-20,15-30,0.7061988643880107
subject14,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject14.npz,l2_norm,15,5,10-25,15-30,0.31245996524784275
subject15,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject15.npz,l2_norm,15,5,0-15,5-20,0.4840590030537606
subject15,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject15.npz,l2_norm,15,5,0-15,10-25,0.8541154345371049
subject15,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject15.npz,l2_norm,15,5,0-15,15-30,0.7275143523193941
subject15,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject15.npz,l2_norm,15,5,5-20,10-25,0.7688004338904187
subject15,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject15.npz,l2_norm,15,5,5-20,15-30,0.9033601068945504
subject15,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject15.npz,l2_norm,15,5,10-25,15-30,0.7885459293422987
subject16,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject16.npz,l2_norm,15,5,0-15,5-20,0.8218724924549006
